id,name,position,dateOfBirth,nationality,team
1684,Bruno Guimarães,Midfield,1997-11-16,Brazil,Newcastle United FC
2563,Sandro Tonali,Midfield,2000-05-08,Italy,Newcastle United FC
4955,Sean Longstaff,Midfield,1997-10-30,England,Newcastle United FC
7798,Joe Willock,Midfield,1999-08-20,England,Newcastle United FC
7848,Anthony Gordon,Midfield,2001-02-24,England,Newcastle United FC
7922,Isaac Hayden,Midfield,1995-03-22,England,Newcastle United FC
7934,Jacob Murphy,Midfield,1995-02-24,England,Newcastle United FC
8076,Harvey Barnes,Midfield,1997-12-09,England,Newcastle United FC
8247,Ryan Fraser,Midfield,1994-02-24,Scotland,Newcastle United FC
10653,Joelinton,Midfield,1996-08-14,Brazil,Newcastle United FC
76861,Miguel Almirón,Midfield,1994-02-10,Paraguay,Newcastle United FC
176852,Lewis Hall,Midfield,2004-09-08,England,Newcastle United FC
191939,Lewis Miley,Midfield,2006-05-01,England,Newcastle United FC
6486,Alexander Isak,Offence,1999-09-21,Sweden,Newcastle United FC
8251,Callum Wilson,Offence,1992-02-27,England,Newcastle United FC
169324,William Osula,Offence,2003-08-04,Denmark,Newcastle United FC
181158,Garang Kuol,Offence,,Australia,Newcastle United FC
